sample,taxon,target_class,primary_dcpip_metric,unique_gene_count,unique_ko_count,unique_compound_count,evidence_rows,PL_mean,PP_mean,overall_mean,metal_authority,in_aliphatic_strict,in_polyaromatic_strict,low_gene_rank,low_dcpip_rank,negative_control_score
BD2,Staphylococcus,Aliphatic,PL_mean,35,35,21,71,28.313333,11.99,22.872222,False,False,False,2.0,1.0,1.5
BD161,Rossellomorea,Aliphatic,PL_mean,50,50,38,145,32.665,47.571667,40.118333,False,False,False,11.0,2.0,6.5
BD95,Stutzerimonas frequens,Aliphatic,PL_mean,51,51,33,133,36.696667,45.26,39.551111,False,False,False,16.5,3.0,9.75
BD96,Stutzerimonas frequens,Aliphatic,PL_mean,51,51,33,133,41.065,39.035,40.388333,False,False,False,16.5,4.0,10.25
BD83,Bacillus,Aliphatic,PL_mean,51,51,33,133,49.168333,23.978333,36.573333,False,False,False,16.5,6.0,11.25
BD5,Dermacoccus nishinomiyaensis,Aliphatic,PL_mean,38,38,26,86,67.105,47.27,57.1875,False,False,False,3.5,26.0,14.75
BD101,Stutzerimonas balearica,Aliphatic,PL_mean,51,51,33,133,58.198333,39.634167,48.91625,False,False,False,16.5,13.0,14.75
BD147,Cellulomonas,Aliphatic,PL_mean,16,16,17,45,71.496667,63.041667,67.269167,False,False,False,1.0,29.0,15.0
BD165,Bacillus paralicheniformis,Aliphatic,PL_mean,52,52,31,110,50.71,65.803333,58.256667,False,False,False,23.5,8.0,15.75
BD121,Bacillus paralicheniformis,Aliphatic,PL_mean,52,52,31,110,51.116667,33.193333,42.155,False,False,False,23.5,9.0,16.25
BD108,Stutzerimonas balearica,Aliphatic,PL_mean,51,51,33,133,60.52,33.64,47.08,False,False,False,16.5,19.0,17.75
BD67,Ochrobactrum,Aliphatic,PL_mean,52,52,33,128,56.5,39.363333,47.931667,False,False,False,23.5,12.0,17.75
BD143,Bacillus stratosphericus,Aliphatic,PL_mean,51,51,41,158,63.146667,63.828333,63.4875,False,False,False,16.5,21.0,18.75
BD8,Rothia,Aliphatic,PL_mean,39,39,27,88,74.555,64.9,69.7275,False,False,False,5.5,33.0,19.25
BD106,Stutzerimonas frequens,Aliphatic,PL_mean,58,58,33,144,43.99,19.493333,31.741667,False,False,False,35.0,5.0,20.0
BD77,Stutzerimonas balearica,Aliphatic,PL_mean,51,51,33,133,66.703333,49.876667,58.29,False,False,False,16.5,24.0,20.25
BD1,Micococcus luteus,Aliphatic,PL_mean,38,38,26,86,78.843333,78.623333,78.733333,False,False,False,3.5,40.0,21.75
BD50,Bacillus safensis,Aliphatic,PL_mean,48,48,41,147,76.326667,70.641667,73.484167,True,False,False,9.5,35.0,22.25
BD126,Bacillus,Aliphatic,PL_mean,53,53,39,150,60.261667,39.048333,49.655,True,False,False,28.5,17.0,22.75
BD151,Bacillus,Aliphatic,PL_mean,45,45,25,91,78.438333,67.093333,72.765833,False,False,False,7.5,39.0,23.25
BD127,Achromobacter,Aliphatic,PL_mean,56,56,43,170,59.206667,22.225833,40.71625,True,True,False,32.0,15.0,23.5
BD117,Micococcus luteus,Aliphatic,PL_mean,39,39,27,79,79.18,76.653333,77.916667,True,True,True,5.5,43.0,24.25
BD152,Bacillus,Aliphatic,PL_mean,45,45,25,91,78.868333,67.093333,72.980833,False,False,False,7.5,41.0,24.25
